ext_id,price,processed_ontology,size,special_price
5340,297,jewelry,,
9292,420,jewelry,,
9939,590,jewelry,,
6094,300,jewelry,,
7202,930,heels,,
6223,570,pants,,
6856,520,pants,,
1959,580,jewelry,,
6075,790,jewelry,,
7935,470,tops,,
12483,790,scarves,,
6419,910,flats,,
3431,960,jewelry,,
6032,780,flats,,
8941,730,dresses,,
12387,1440,jewelry,,
2098,470,pants,,
5611,570,pants,,
10629,620,scarves,,
8728,420,nightwear,,
11071,560,jewelry,,
11008,3740,jewelry,,
12121,790,jewelry,,
12388,840,jewelry,,
8861,440,shorts,,
11069,560,jewelry,,
6142,730,flats,,
9584,940,jewelry,,
11509,790,scarves,,
12482,790,scarves,,
2424,390,skirts,,
5981,580,shorts,,
7841,820,dresses,,
4926,590,dresses,,
7787,400,bags,,
8974,990,tops,,
8466,1990,wall_art,,
3731,360,tops,,
7784,390,bags,,
12673,990,accessories>others,,
9001,530,belts,,
12486,1290,belts,,
6610,720,flats,,
11941,1343,vases_and_accessories,,
4628,990,bags,,
5189,730,dresses,,
3487,840,dresses,,
11373,1380,tops,,
3482,600,dresses,,
12672,990,accessories>others,,
1792,340,tops,,
9231,2500,accessories>others,,
11095,1134,bags,,
7751,710,bags,,
9844,1840,brogues,,
11183,1600,flats,,
11698,968,table_linen,,
13615,2240,dresses,,
10701,610,dresses,,
8552,2990,women_swimwear,,
11043,490,tops,,
2203,600,tops,,
11080,590,flats,,
12012,893,vases_and_accessories,,
2492,880,women_swimwear,,
2824,500,,,
7988,690,dining__entertaining,,
14084,13890,home_decor,,
10091,390,tops,,
8064,1140,tops,,
4806,940,pants,,
5884,490,tops,,
3988,490,tops,,
3562,570,tops,,
12381,2390,pants,,
12210,1690,tops,"XS,S,M,L,XL",
14034,2240,dresses,"XS,S,M,L,XL,XXL",
12806,3140,new,"XS,S,M,L,XL",
9851,1990,flats,"36,37,38,39,40,41",790
11208,2350,heels,"36,37,38,39,40,41",1760
9301,1840,heels,"36,37,38,39,40,41",1290
14086,1340,barware,,
12675,2740,pants,"XS,S,M,L,XL",1918
12249,1840,jewelry,,
3421,2990,heels,"35,36,37,38,39,40,41",1495
12401,1390,bathroom_,,
12402,1690,kitchen,,
12405,1290,jewelry,,
12408,2390,jewelry,,
12667,1190,vases_and_accessories,,
12725,2190,mirror,,
12734,890,candles,,
12825,540,jewelry,,
12962,1840,jewelry,,
13147,2140,bags,,
13283,790,scarves,,
10677,1570,wall_art,,
11037,1940,jewelry,,
11070,600,headbands,,
11585,2740,bags,,
11633,1740,serveware,,
11773,1290,serveware,,
11787,580,vases_and_accessories,,
12005,1718,tableware,,
12075,1240,serveware,,
12079,1590,serveware,,
7748,900,bags,,
9019,1190,cushions,,
9022,2390,mirror,,
9354,1090,lighting,,
9363,640,drinkware,,
9365,890,lighting,,
9367,620,desk_and_stationery,,
12342,2290,serveware,,
12377,1890,vases_and_accessories,,
12231,2490,serveware,,
12236,1190,headbands,,
12240,1190,headbands,,
9409,14990,wall_art,,
9592,1160,bedroom_and_living_room,,
9691,4440,serveware,,
14632,1990,dresses,"XL,XXL",
14346,640,accessories,,
9138,2630,women_swimwear,XS,1315
15951,0,,,
13661,4990,accessories>others,,
11939,1790,vases_and_accessories,,895
13401,2240,dresses,,1120
14400,2440,dresses,,
11435,4000,jewelry,,
8509,2890,women_swimwear,,1445
12361,2940,brogues,,1470
12204,2240,skirt,,
12536,2440,heels,,1220
11844,2740,brogues,,
11430,4500,jewelry,,
13021,1790,sandals,39,716
13064,2290,flats,39,916
14200,1840,tops,,
14198,1840,tops,,
7923,510,nightwear,,
7465,440,tops,,
2674,380,shorts,,
7708,945,jewelry,,
10251,990,jewelry,,
7596,900,dresses,,
6148,510,flats,,
5259,650,dresses,,
3441,650,jewelry,,
8448,720,jewelry,,
1745,350,jewelry,,
6080,370,jewelry,,
5827,560,jewelry,,
11417,1790,jewelry,,
12391,1290,jewelry,,
7244,440,shorts,,
1746,350,jewelry,,
3842,960,jewelry,,
6705,590,dresses,,
7542,680,dresses,,
9162,710,dresses,,
11175,570,jewelry,,
7477,710,dresses,,
7693,410,jewelry,,
12393,1290,jewelry,,
2018,400,shorts,,
2535,410,shorts,,
2113,570,pants,,
2296,250,jewelry,,
8891,460,pants,,
10881,590,jewelry,,
7223,1040,heels,,
11419,2840,jewelry,,
11426,1590,jewelry,,
5817,450,jewelry,,
1944,390,tops,,
7697,340,jewelry,,
9294,520,jewelry,,
11209,440,jewelry,,
6624,710,flats,,
7712,1044,jewelry,,
10625,340,headbands,,
12390,1240,jewelry,,
6005,920,heels,,
9043,690,dresses,,
8045,570,tops,,
8489,390,skirts,,
10355,1610,bags,,
7250,580,dresses,,
12237,940,headbands,,
7785,690,bags,,
6940,470,dresses,,
7775,420,bags,,
9037,480,skirts,,
7314,580,tops,,
3724,420,tops,,
1674,590,tops,,
3975,490,tops,,
9330,750,bags,,
3495,530,dresses,,
10986,3740,jewelry,,
11358,1,,,
4393,550,dresses,,
7750,690,bags,,
11351,2094,bags,,
4932,490,dresses,,
12134,1490,bags,,
9208,640,barware,,
11694,890,table_linen,,
11299,1310,tops,,
11949,610,dresses,,
10656,610,pants,,
12130,2340,vases_and_accessories,,
9423,760,tops,,
11546,1790,flats,,
14055,2440,dresses,,
2689,2510,women_swimwear,,
7691,810,shorts,,
11969,2290,serveware,,
11532,690,flats,,
13196,1708,pants,,
12280,920,sandals,,
10336,1690,tops,,
11735,1590,tops,,
11987,540,tops,,
7530,520,tops,,
6254,600,dresses,,
8021,470,skirts,,
8867,670,dresses,,
10850,2940,women_swimwear,"XS,S,M,L,XL",2640
14562,1890,dresses,"XS,S,M,L,XL,XXL",
3330,2890,wedge,"35,36,37,38,39,40",1490
8672,1690,flats,"36,37,38,39,40,41",840
9175,2790,women_swimwear,"XS,S,M,L,XL",1990
14057,1490,tops,"XS,S,M,L,XL,XXL",
8564,2630,women_swimwear,"XS,S,M,L",1940
13154,1940,tops,"XS,S,M,L,XL",1358
12842,2440,heels,"36,37,38,39,40,41",1220
13814,2890,dresses,S,1445
12397,1490,jewelry,,
12404,1290,jewelry,,
12738,3240,bags,,
12956,2940,jewelry,,
12963,2490,jewelry,,
12410,1290,jewelry,,
10532,603,candles,,
10851,3890,vases_and_accessories,,
11416,1790,jewelry,,
11424,1240,jewelry,,
11632,1190,serveware,,
11700,1305,serveware,,
